Macrotrends Data Download

China GDP 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,59.716249310974,89.5202,0
1961-12-31,50.056685957359,75.8056,-27.27
1962-12-31,47.209186415355,70.9092,-5.58
1963-12-31,50.706614526147,74.3134,10.3
1964-12-31,59.708125203864,85.4982,18.18
1965-12-31,70.436008642425,98.4864,16.95
1966-12-31,76.720005491896,104.3242,10.65
1967-12-31,72.881364882491,96.5892,-5.77
1968-12-31,70.846276051473,91.4724,-4.1
1969-12-31,79.705614854767,100.1295,16.94
1970-12-31,92.602634891659,113.1626,19.3
1971-12-31,99.800593790989,118.6541,7.06
1972-12-31,113.68930802034,131.8856,3.81
1973-12-31,138.54317045806,157.0891,7.76
1974-12-31,144.18897082107,160.1477,2.31
1975-12-31,163.42953065964,178.3396,8.72
1976-12-31,153.93926594778,165.4043,-1.57
1977-12-31,174.93593307866,185.4205,7.57
1978-12-31,218.50216913756,228.5193,11.326
1979-12-31,263.711728825,272.1469,7.5913
1980-12-31,306.16531485585,312.0204,7.8341
1981-12-31,289.57658183045,291.3582,5.1128
1982-12-31,283.92867298811,281.4993,9.0171
1983-12-31,304.74890422129,297.807,10.7702
1984-12-31,313.7285477069,302.5858,15.1915
1985-12-31,309.83580301359,294.7897,13.4307
1986-12-31,300.51420452097,281.6995,8.95
1987-12-31,327.08940314607,301.7332,11.6574
1988-12-31,407.84467039306,370.2193,11.2226
1989-12-31,456.28912206316,407.8927,4.2063
1990-12-31,394.56574734906,347.5784,3.9203
1991-12-31,413.37544535447,359.2133,9.2628
1992-12-31,493.136961883,423.3044,14.2245
1993-12-31,619.11194651163,525.3657,13.8837
1994-12-31,564.32185452101,473.4899,13.0368
1995-12-31,734.48483457358,609.6043,10.954
1996-12-31,863.74931471854,709.4159,9.9226
1997-12-31,961.60198098462,781.7426,9.2368
1998-12-31,1029.0607476207,828.5947,7.846
1999-12-31,1094.0104826774,873.2976,7.6617
2000-12-31,1211.3316518298,959.3604,8.4901
2001-12-31,1339.4008971534,1053.1123,8.3357
2002-12-31,1470.5576548241,1148.5143,9.1336
2003-12-31,1660.280543871,1288.6375,10.038
2004-12-31,1955.3467687576,1508.6679,10.1136
2005-12-31,2285.9611499043,1753.4142,11.3946
2006-12-31,2752.1186572216,2099.2194,12.721
2007-12-31,3550.3278030247,2693.9587,14.2309
2008-12-31,4594.3367857521,3468.3271,9.6507
2009-12-31,5101.6911243584,3832.2275,9.3987
2010-12-31,6087.1917467386,4550.4739,10.6359
2011-12-31,7551.5457035181,5614.386,9.5508
2012-12-31,8532.1853816964,6300.5822,7.8637
2013-12-31,9570.4711118478,7020.3861,7.7662
2014-12-31,10475.62494429,7636.0743,7.4258
2015-12-31,11061.572618595,8016.4456,7.0413
2016-12-31,11233.313730289,8094.3902,6.8488
2017-12-31,12310.491333981,8817.0456,6.9472
2018-12-31,13894.907857926,9905.4064,6.7498
2019-12-31,14279.968506243,10143.8602,5.9505
2020-12-31,14687.744162801,10408.7196,2.2386
2021-12-31,17820.459508852,12617.5051,8.4485
2022-12-31,17963.171479205,12720.2163,2.9891
